id,name,trigger_type,status,first_seen,last_seen,gone_since,expiration_date,cancelled,speed_limit_kn,bbox_south,bbox_north,bbox_west,bbox_east,comments
3909,34nm SW Nantucket MA,v,expired_or_cancelled,2026-03-11T15:03:18+00:00,2026-03-15T07:08:18+00:00,2026-03-16T07:41:11+00:00,16-MAR-2026 00:00:01,extended,10.0,40.54,41.06,-70.84,-70.13,
3910,19nm NE Boston MA,a,expired_or_cancelled,2026-03-11T15:03:18+00:00,2026-03-16T07:41:11+00:00,2026-03-17T07:13:38+00:00,17-MAR-2026 00:00:01,extended,10.0,42.21,42.72,-71.04,-70.35,
3911,40nm S Nantucket MA,v,expired_or_cancelled,2026-03-11T15:03:18+00:00,2026-03-18T07:12:04+00:00,2026-03-19T07:06:47+00:00,18-MAR-2026 00:00:01,extended,10.0,40.35,40.91,-70.4,-69.47,
3912,82nm E New York NY,a,expired_or_cancelled,2026-03-11T15:03:18+00:00,2026-03-18T07:12:04+00:00,2026-03-19T07:06:47+00:00,18-MAR-2026 00:00:01,,10.0,40.07,40.58,-72.61,-71.95,
3913,64nm E Atlantic City NJ,a,expired_or_cancelled,2026-03-11T15:03:18+00:00,2026-03-18T07:12:04+00:00,2026-03-19T07:06:47+00:00,19-MAR-2026 00:00:01,,10.0,39.49,40.0,-73.46,-72.8,
3914,66nm E Atlantic City NJ,a,expired_or_cancelled,2026-03-11T15:03:18+00:00,2026-03-21T06:55:36+00:00,2026-03-22T06:59:57+00:00,22-MAR-2026 00:00:01,,10.0,39.21,39.72,-73.34,-72.68,
3915,21nm E Ocean City MD,a,expired_or_cancelled,2026-03-11T15:03:18+00:00,2026-03-23T07:21:24+00:00,2026-03-24T07:13:34+00:00,24-MAR-2026 00:00:01,,10.0,38.05,38.56,-74.97,-74.32,
3916,34nm SW Nantucket MA,v,expired_or_cancelled,2026-03-13T07:04:19+00:00,2026-03-26T07:19:47+00:00,2026-03-27T07:18:52+00:00,27-MAR-2026 00:00:01,,10.0,40.54,41.06,-70.84,-70.13,
3917,40nm S Nantucket MA,v,expired_or_cancelled,2026-03-13T07:04:19+00:00,2026-03-26T07:19:47+00:00,2026-03-27T07:18:52+00:00,27-MAR-2026 00:00:01,extended,10.0,40.35,40.91,-70.4,-69.47,
3918,19nm NE Boston MA,a,expired_or_cancelled,2026-03-15T07:08:18+00:00,2026-03-28T07:07:04+00:00,2026-03-29T07:13:57+00:00,29-MAR-2026 00:00:01,extended,10.0,42.21,42.72,-71.04,-70.35,
3919,49nm SE Nantucket MA,v,expired_or_cancelled,2026-03-17T07:13:38+00:00,2026-03-30T07:53:32+00:00,2026-03-31T07:26:56+00:00,31-MAR-2026 00:00:01,extended,10.0,40.39,40.94,-69.72,-69.04,
3920,57nm E Atlantic City NJ,a,expired_or_cancelled,2026-03-17T07:13:38+00:00,2026-03-31T07:26:56+00:00,2026-04-01T07:44:07+00:00,01-APR-2026 00:00:01,,10.0,38.84,39.35,-73.57,-72.91,
3921,40nm S Nantucket MA,v,expired_or_cancelled,2026-03-21T06:55:36+00:00,2026-04-04T07:10:19+00:00,2026-04-05T07:16:54+00:00,05-APR-2026 00:00:01,extended,10.0,40.35,40.91,-70.4,-69.47,
3922,20nm SE Atlantic City NJ,a,expired_or_cancelled,2026-03-23T07:21:24+00:00,2026-04-08T07:45:42+00:00,2026-04-09T07:48:10+00:00,09-APR-2026 00:00:01,,10.0,38.82,39.33,-74.5,-73.85,
3923,20nm SW Nantucket MA,a,expired_or_cancelled,2026-03-25T07:11:54+00:00,2026-04-08T07:45:42+00:00,2026-04-09T07:48:10+00:00,09-APR-2026 00:00:01,,10.0,40.75,41.25,-70.67,-69.99,
3924,19nm NE Boston MA,a,expired_or_cancelled,2026-03-27T07:18:52+00:00,2026-04-10T07:51:57+00:00,2026-04-11T07:09:52+00:00,11-APR-2026 00:00:01,extended,10.0,42.21,42.72,-71.04,-70.35,
3925,21nm E Ocean City MD,a,expired_or_cancelled,2026-03-30T07:53:32+00:00,2026-04-12T07:24:09+00:00,2026-04-13T08:14:29+00:00,13-APR-2026 00:00:01,,10.0,38.05,38.56,-74.97,-74.32,
3926,49nm SE Nantucket MA,v,expired_or_cancelled,2026-03-30T07:53:32+00:00,2026-04-13T08:14:29+00:00,2026-04-14T07:57:43+00:00,14-APR-2026 00:00:01,,10.0,40.39,40.94,-69.72,-69.04,
3927,40nm S Nantucket MA,v,expired_or_cancelled,2026-03-30T07:53:32+00:00,2026-04-13T08:14:29+00:00,2026-04-14T07:57:43+00:00,14-APR-2026 00:00:01,extended,10.0,40.35,40.91,-70.4,-69.47,
3928,20nm SW Nantucket MA,a,expired_or_cancelled,2026-04-09T07:48:10+00:00,2026-04-22T08:00:00+00:00,2026-04-23T08:05:29+00:00,23-APR-2026 00:00:01,,10.0,40.75,41.25,-70.67,-69.99,
3929,19nm NE Boston MA,a,expired_or_cancelled,2026-04-09T07:48:10+00:00,2026-04-22T08:00:00+00:00,2026-04-23T08:05:29+00:00,23-APR-2026 00:00:01,,10.0,42.21,42.72,-71.04,-70.35,
3930,16nm E Boston MA,v,expired_or_cancelled,2026-04-10T07:51:57+00:00,2026-04-24T08:13:59+00:00,2026-04-25T07:39:04+00:00,25-APR-2026 00:00:01,extended,10.0,42.08,42.6,-71.13,-70.34,
3931,17nm S Nantucket MA,v,active,2026-04-12T07:24:09+00:00,2026-04-25T07:39:04+00:00,,26-APR-2026 00:00:01,,10.0,40.74,41.28,-70.55,-69.82,
3932,40nm S Nantucket MA,v,active,2026-04-12T07:24:09+00:00,2026-04-25T07:39:04+00:00,,26-APR-2026 00:00:01,,10.0,40.35,40.91,-70.4,-69.47,
3933,86nm E Atlantic City NJ,v,active,2026-04-17T07:59:03+00:00,2026-04-25T07:39:04+00:00,,02-MAY-2026 00:00:01,,10.0,39.22,39.72,-72.89,-72.24,
3934,16nm E Boston MA,v,active,2026-04-21T08:03:34+00:00,2026-04-25T07:39:04+00:00,,06-MAY-2026 00:00:01,,10.0,42.08,42.6,-71.13,-70.34,
3935,25nm S Portsmouth NH,v,expired_or_cancelled,2026-04-22T08:00:00+00:00,2026-04-22T08:00:00+00:00,2026-04-23T08:05:29+00:00,07-MAY-2026 00:00:01,,10.0,42.36,43.03,-71.0,-70.08,
3936,21nm SE Portsmouth NH,v,expired_or_cancelled,2026-04-22T08:00:00+00:00,2026-04-22T08:00:00+00:00,2026-04-23T08:05:29+00:00,07-MAY-2026 00:00:01,,10.0,42.59,43.09,-70.72,-70.04,
3937,25nm S Portsmouth NH,v,active,2026-04-22T08:00:00+00:00,2026-04-25T07:39:04+00:00,,07-MAY-2026 00:00:01,,10.0,42.36,43.03,-71.0,-70.08,
3938,21nm SE Portsmouth NH,v,active,2026-04-22T08:00:00+00:00,2026-04-25T07:39:04+00:00,,07-MAY-2026 00:00:01,,10.0,42.59,43.09,-70.72,-70.04,
